family,instance_id,restricted,topology,synthesis,baseline_true_cells,common_true_cells,lost_in_any_other_seed,lost_in_all_other_seeds,new_true_cells,baseline_unknown_under_other_seeds,retention,classification
max3sat,max3sat_017,True,ring12,canonical,170,0,170,165,64,0,0.0,disappeared
max3sat,max3sat_017,True,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_018,False,grid12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_018,False,grid12,reuse,0,0,0,0,1800,0,N/A,empty_baseline
max3sat,max3sat_018,False,line12,canonical,0,0,0,0,918,0,N/A,empty_baseline
max3sat,max3sat_018,False,line12,reuse,864,864,0,0,1476,0,1.0,stable
max3sat,max3sat_018,False,ring12,canonical,54,0,54,0,1469,0,0.0,disappeared
max3sat,max3sat_018,False,ring12,reuse,864,864,0,0,1248,0,1.0,stable
max3sat,max3sat_019,True,grid12,canonical,1280,0,1280,415,0,0,0.0,disappeared
max3sat,max3sat_019,True,grid12,reuse,0,0,0,0,1872,0,N/A,empty_baseline
max3sat,max3sat_019,True,line12,canonical,1665,475,1190,0,375,0,0.2852852852852853,partial
max3sat,max3sat_019,True,line12,reuse,1692,1512,180,0,0,0,0.8936170212765957,partial
max3sat,max3sat_019,True,ring12,canonical,455,405,50,0,1186,0,0.8901098901098901,partial
max3sat,max3sat_019,True,ring12,reuse,1314,1304,10,0,12,0,0.9923896499238964,partial
max3sat,max3sat_020,True,grid12,canonical,0,0,0,0,144,0,N/A,empty_baseline
max3sat,max3sat_020,True,grid12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_020,True,line12,canonical,0,0,0,0,184,0,N/A,empty_baseline
max3sat,max3sat_020,True,line12,reuse,0,0,0,0,1512,0,N/A,empty_baseline
