family,instance_id,topology,synthesis,seed,selected_candidate_id,selected_category,baseline_selected_candidate_id,baseline_selected_feasible,baseline_budget_cells,retained_baseline_budget_cells,baseline_coverage_retention,baseline_resource_task_id,current_resource_task_id,budget_set_definition
max3sat,max3sat_002,line12,reuse,2718,5fd180fe6db23e2d65feb84e,native,5fd180fe6db23e2d65feb84e,FALSE,13818,13524,0.9787234042553191,7d5650bb13f14621a5d8ed6b,98cde8f8eeb9503cc41a443f,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,line12,reuse,31415,5fd180fe6db23e2d65feb84e,native,5fd180fe6db23e2d65feb84e,FALSE,13818,13524,0.9787234042553191,7d5650bb13f14621a5d8ed6b,6a293e2d9604fd31bbfd1c91,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,line12,reuse,57721,5fd180fe6db23e2d65feb84e,native,5fd180fe6db23e2d65feb84e,FALSE,13818,13524,0.9787234042553191,7d5650bb13f14621a5d8ed6b,ecfe672896419b2582118729,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,line12,reuse,65537,5fd180fe6db23e2d65feb84e,native,5fd180fe6db23e2d65feb84e,FALSE,13818,13524,0.9787234042553191,7d5650bb13f14621a5d8ed6b,0b62207cebfc9c838a0c9432,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,ring12,canonical,1729,f23443cd87cb2e60ca25454a,native,f23443cd87cb2e60ca25454a,TRUE,10780,10780,1.0,7313982289cbd0931040cd77,7313982289cbd0931040cd77,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,ring12,canonical,2718,f23443cd87cb2e60ca25454a,native,f23443cd87cb2e60ca25454a,TRUE,10780,10780,1.0,7313982289cbd0931040cd77,171176b2879915073014d640,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,ring12,canonical,31415,f23443cd87cb2e60ca25454a,native,f23443cd87cb2e60ca25454a,FALSE,10780,9310,0.8636363636363636,7313982289cbd0931040cd77,bde00c3e681ec40fe68089c9,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,ring12,canonical,57721,f23443cd87cb2e60ca25454a,native,f23443cd87cb2e60ca25454a,TRUE,10780,10780,1.0,7313982289cbd0931040cd77,290ac23e312a5ba60b3544cb,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,ring12,canonical,65537,f23443cd87cb2e60ca25454a,native,f23443cd87cb2e60ca25454a,FALSE,10780,10290,0.9545454545454546,7313982289cbd0931040cd77,95c2f62834bb80a84fb63cf7,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,ring12,reuse,1729,06558d90f0574a981ec7d610,native,06558d90f0574a981ec7d610,TRUE,13818,13818,1.0,6b5ffafcf005af736cdbd5aa,6b5ffafcf005af736cdbd5aa,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,ring12,reuse,2718,06558d90f0574a981ec7d610,native,06558d90f0574a981ec7d610,FALSE,13818,13524,0.9787234042553191,6b5ffafcf005af736cdbd5aa,58c303e9e3f8e3e72daebdba,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,ring12,reuse,31415,06558d90f0574a981ec7d610,native,06558d90f0574a981ec7d610,FALSE,13818,13524,0.9787234042553191,6b5ffafcf005af736cdbd5aa,e93f7dc977a969e6f6129fdd,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,ring12,reuse,57721,06558d90f0574a981ec7d610,native,06558d90f0574a981ec7d610,FALSE,13818,13524,0.9787234042553191,6b5ffafcf005af736cdbd5aa,48b4be68f8d871fe0fa58558,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,ring12,reuse,65537,06558d90f0574a981ec7d610,native,06558d90f0574a981ec7d610,FALSE,13818,13524,0.9787234042553191,6b5ffafcf005af736cdbd5aa,5970fe9a274eaa64887ff16b,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,grid12,canonical,1729,dc74b16df495ccf0449c4c59,native,dc74b16df495ccf0449c4c59,TRUE,9660,9660,1.0,55ee17fa6b46c5597b9fe21c,55ee17fa6b46c5597b9fe21c,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,grid12,canonical,2718,dc74b16df495ccf0449c4c59,native,dc74b16df495ccf0449c4c59,FALSE,9660,9450,0.9782608695652174,55ee17fa6b46c5597b9fe21c,1171bf21638462d1e662975e,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,grid12,canonical,31415,dc74b16df495ccf0449c4c59,native,dc74b16df495ccf0449c4c59,TRUE,9660,9660,1.0,55ee17fa6b46c5597b9fe21c,0d49ea407b226ccefb34b007,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,grid12,canonical,57721,dc74b16df495ccf0449c4c59,native,dc74b16df495ccf0449c4c59,FALSE,9660,7700,0.7971014492753623,55ee17fa6b46c5597b9fe21c,1dfb2ea32a9f6fb1a07b9df2,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,grid12,canonical,65537,dc74b16df495ccf0449c4c59,native,dc74b16df495ccf0449c4c59,TRUE,9660,9660,1.0,55ee17fa6b46c5597b9fe21c,689c9ff6397e268bae96ae12,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,grid12,reuse,1729,5bd969b536e656e93478f5e1,native,5bd969b536e656e93478f5e1,TRUE,12600,12600,1.0,b0830019d45f24fefde38631,b0830019d45f24fefde38631,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,grid12,reuse,2718,5bd969b536e656e93478f5e1,native,5bd969b536e656e93478f5e1,TRUE,12600,12600,1.0,b0830019d45f24fefde38631,0dd4bb95206f34beae0ebab9,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,grid12,reuse,31415,5bd969b536e656e93478f5e1,native,5bd969b536e656e93478f5e1,TRUE,12600,12600,1.0,b0830019d45f24fefde38631,c4917c260acd10483b864678,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,grid12,reuse,57721,5bd969b536e656e93478f5e1,native,5bd969b536e656e93478f5e1,TRUE,12600,12600,1.0,b0830019d45f24fefde38631,6f7f40c7d7fb4116cb9f55fe,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,grid12,reuse,65537,5bd969b536e656e93478f5e1,native,5bd969b536e656e93478f5e1,TRUE,12600,12600,1.0,b0830019d45f24fefde38631,0e6e0d6da315796d64ceb81e,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_003,line12,canonical,1729,7a3e9cb17828cf49493d57b9,native,7a3e9cb17828cf49493d57b9,TRUE,10045,10045,1.0,ce7316224bbfadad139cacfb,ce7316224bbfadad139cacfb,all complete grid tuples feasible for the fixed baseline J winner
