family,instance_id,n_design_draws,representation,routing_overhead,swap_count,topology_id,two_qubit_depth,two_qubit_gates
cubic_spin_glass,inst_55970a6e9882c541702aea4a808a177a8682c2746c2513cea2cf4365dad37c3c,5,matched_random_selective,0.0,0.0,all_to_all_reference,56.0,64.0
cubic_spin_glass,inst_55970a6e9882c541702aea4a808a177a8682c2746c2513cea2cf4365dad37c3c,1,selective,0.0,0.0,all_to_all_reference,56.0,64.0
cubic_spin_glass,inst_58ad673a89921951e0c8e74f76be469f6804253269d061917d2f9cddbfde19f0,1,all_native,0.0,0.0,all_to_all_reference,109.0,128.0
cubic_spin_glass,inst_58ad673a89921951e0c8e74f76be469f6804253269d061917d2f9cddbfde19f0,1,fully_quadratized,0.0,0.0,all_to_all_reference,48.0,156.0
cubic_spin_glass,inst_58ad673a89921951e0c8e74f76be469f6804253269d061917d2f9cddbfde19f0,5,matched_random_selective,0.0,0.0,all_to_all_reference,99.6,161.2
cubic_spin_glass,inst_58ad673a89921951e0c8e74f76be469f6804253269d061917d2f9cddbfde19f0,1,selective,0.0,0.0,all_to_all_reference,72.0,148.0
cubic_spin_glass,inst_59d47f0711e495d090f7fe436c47b3444643657d19e1e4fc567b971685dcb3e2,1,all_native,0.0,0.0,all_to_all_reference,23.0,32.0
cubic_spin_glass,inst_59d47f0711e495d090f7fe436c47b3444643657d19e1e4fc567b971685dcb3e2,1,fully_quadratized,0.0,0.0,all_to_all_reference,24.0,52.0
cubic_spin_glass,inst_59d47f0711e495d090f7fe436c47b3444643657d19e1e4fc567b971685dcb3e2,5,matched_random_selective,0.0,0.0,all_to_all_reference,23.0,32.0
cubic_spin_glass,inst_59d47f0711e495d090f7fe436c47b3444643657d19e1e4fc567b971685dcb3e2,1,selective,0.0,0.0,all_to_all_reference,23.0,32.0
cubic_spin_glass,inst_5e7c8d0ae78fb3fcd9e50f45870af4ef1698195119adfcdb8c7bf1699215879b,1,all_native,0.0,0.0,all_to_all_reference,27.0,32.0
cubic_spin_glass,inst_5e7c8d0ae78fb3fcd9e50f45870af4ef1698195119adfcdb8c7bf1699215879b,1,fully_quadratized,0.0,0.0,all_to_all_reference,26.0,70.0
cubic_spin_glass,inst_5e7c8d0ae78fb3fcd9e50f45870af4ef1698195119adfcdb8c7bf1699215879b,5,matched_random_selective,0.0,0.0,all_to_all_reference,27.0,32.0
cubic_spin_glass,inst_5e7c8d0ae78fb3fcd9e50f45870af4ef1698195119adfcdb8c7bf1699215879b,1,selective,0.0,0.0,all_to_all_reference,27.0,32.0
cubic_spin_glass,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,1,all_native,0.0,0.0,all_to_all_reference,44.0,80.0
cubic_spin_glass,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,1,fully_quadratized,0.0,0.0,all_to_all_reference,50.0,132.0
cubic_spin_glass,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,5,matched_random_selective,0.0,0.0,all_to_all_reference,44.0,80.0
cubic_spin_glass,inst_5e84026f5ef89b88de9d4b994118f120646ed7435887f0713ffd0b2f2cd5428d,1,selective,0.0,0.0,all_to_all_reference,44.0,80.0
cubic_spin_glass,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,1,all_native,0.0,0.0,all_to_all_reference,50.0,64.0
cubic_spin_glass,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,1,fully_quadratized,0.0,0.0,all_to_all_reference,46.0,104.0
cubic_spin_glass,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,5,matched_random_selective,0.0,0.0,all_to_all_reference,50.0,64.0
cubic_spin_glass,inst_5f65d193d7b5370c9379fde1b52bfef9bc19e4da666d19b2e186471b1e77bf32,1,selective,0.0,0.0,all_to_all_reference,50.0,64.0
cubic_spin_glass,inst_6188a8a06666ee362b7faa5959f7d36cf41943034d8c1f96a7e40d30b687a953,1,all_native,0.0,0.0,all_to_all_reference,105.0,160.0
cubic_spin_glass,inst_6188a8a06666ee362b7faa5959f7d36cf41943034d8c1f96a7e40d30b687a953,1,fully_quadratized,0.0,0.0,all_to_all_reference,68.0,358.0
cubic_spin_glass,inst_6188a8a06666ee362b7faa5959f7d36cf41943034d8c1f96a7e40d30b687a953,5,matched_random_selective,0.0,0.0,all_to_all_reference,106.0,168.8
cubic_spin_glass,inst_6188a8a06666ee362b7faa5959f7d36cf41943034d8c1f96a7e40d30b687a953,1,selective,0.0,0.0,all_to_all_reference,88.0,170.0
cubic_spin_glass,inst_620a5d32d7187d6870f30ec729690f838c6c03717c12d08920f9cb1a5c444ccd,1,all_native,0.0,0.0,all_to_all_reference,76.0,80.0
cubic_spin_glass,inst_620a5d32d7187d6870f30ec729690f838c6c03717c12d08920f9cb1a5c444ccd,1,fully_quadratized,0.0,0.0,all_to_all_reference,54.0,132.0
cubic_spin_glass,inst_620a5d32d7187d6870f30ec729690f838c6c03717c12d08920f9cb1a5c444ccd,5,matched_random_selective,0.0,0.0,all_to_all_reference,74.6,88.0
cubic_spin_glass,inst_620a5d32d7187d6870f30ec729690f838c6c03717c12d08920f9cb1a5c444ccd,1,selective,0.0,0.0,all_to_all_reference,55.0,88.0
cubic_spin_glass,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,1,all_native,0.0,0.0,all_to_all_reference,27.0,32.0
cubic_spin_glass,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,1,fully_quadratized,0.0,0.0,all_to_all_reference,30.0,54.0
cubic_spin_glass,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,5,matched_random_selective,0.0,0.0,all_to_all_reference,27.0,32.0
cubic_spin_glass,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,1,selective,0.0,0.0,all_to_all_reference,27.0,32.0
cubic_spin_glass,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,1,all_native,0.0,0.0,all_to_all_reference,36.0,48.0
cubic_spin_glass,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,1,fully_quadratized,0.0,0.0,all_to_all_reference,40.0,114.0
cubic_spin_glass,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,5,matched_random_selective,0.0,0.0,all_to_all_reference,36.0,48.0
cubic_spin_glass,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,1,selective,0.0,0.0,all_to_all_reference,36.0,48.0
cubic_spin_glass,inst_64ff32844bde505ea188f6df7a2e54fe41e88061d38144bbd304285bc823e766,1,all_native,0.0,0.0,all_to_all_reference,31.0,48.0
cubic_spin_glass,inst_64ff32844bde505ea188f6df7a2e54fe41e88061d38144bbd304285bc823e766,1,fully_quadratized,0.0,0.0,all_to_all_reference,46.0,84.0
cubic_spin_glass,inst_64ff32844bde505ea188f6df7a2e54fe41e88061d38144bbd304285bc823e766,5,matched_random_selective,0.0,0.0,all_to_all_reference,31.0,48.0
cubic_spin_glass,inst_64ff32844bde505ea188f6df7a2e54fe41e88061d38144bbd304285bc823e766,1,selective,0.0,0.0,all_to_all_reference,31.0,48.0
cubic_spin_glass,inst_67f4e4fa7cd1382fcc03d558ad19ac0420a74e3749bd90c0167e795417192422,1,all_native,0.0,0.0,all_to_all_reference,123.0,160.0
cubic_spin_glass,inst_67f4e4fa7cd1382fcc03d558ad19ac0420a74e3749bd90c0167e795417192422,1,fully_quadratized,0.0,0.0,all_to_all_reference,78.0,368.0
cubic_spin_glass,inst_67f4e4fa7cd1382fcc03d558ad19ac0420a74e3749bd90c0167e795417192422,5,matched_random_selective,0.0,0.0,all_to_all_reference,120.4,193.2
cubic_spin_glass,inst_67f4e4fa7cd1382fcc03d558ad19ac0420a74e3749bd90c0167e795417192422,1,selective,0.0,0.0,all_to_all_reference,70.0,192.0
cubic_spin_glass,inst_6969ca061e6a5a0b4350ccfb99da5386eb70d23ece3e7ffa0101e3a9c6305d74,1,all_native,0.0,0.0,all_to_all_reference,51.0,64.0
cubic_spin_glass,inst_6969ca061e6a5a0b4350ccfb99da5386eb70d23ece3e7ffa0101e3a9c6305d74,1,fully_quadratized,0.0,0.0,all_to_all_reference,38.0,114.0
cubic_spin_glass,inst_6969ca061e6a5a0b4350ccfb99da5386eb70d23ece3e7ffa0101e3a9c6305d74,5,matched_random_selective,0.0,0.0,all_to_all_reference,51.0,64.0
cubic_spin_glass,inst_6969ca061e6a5a0b4350ccfb99da5386eb70d23ece3e7ffa0101e3a9c6305d74,1,selective,0.0,0.0,all_to_all_reference,51.0,64.0
cubic_spin_glass,inst_6a06eec6c612c29ba46b89da361fc8b89d4e4e985e548b9c5d20da503d9b6f95,1,all_native,0.0,0.0,all_to_all_reference,170.0,192.0
cubic_spin_glass,inst_6a06eec6c612c29ba46b89da361fc8b89d4e4e985e548b9c5d20da503d9b6f95,1,fully_quadratized,0.0,0.0,all_to_all_reference,58.0,266.0
cubic_spin_glass,inst_6a06eec6c612c29ba46b89da361fc8b89d4e4e985e548b9c5d20da503d9b6f95,5,matched_random_selective,0.0,0.0,all_to_all_reference,148.6,246.4
cubic_spin_glass,inst_6a06eec6c612c29ba46b89da361fc8b89d4e4e985e548b9c5d20da503d9b6f95,1,selective,0.0,0.0,all_to_all_reference,103.0,226.0
