budget_key,budget_mode,instance_id,metric,new_classification,new_effect,new_status,old_classification,old_effect,old_status,topology_id
not_applicable,not_applicable,inst_7fb1bfed3cb150b9c82f88f49613843c766218e213329cc38e12264c97c15eba,compiled_two_qubit_gates,little_effect,0.030418250950570415,pass,little_effect,0.030418250950570415,pass,all_to_all_reference
not_applicable,not_applicable,inst_7fb1bfed3cb150b9c82f88f49613843c766218e213329cc38e12264c97c15eba,compiled_two_qubit_depth,help,0.32882414151925077,pass,help,0.32882414151925077,pass,all_to_all_reference
not_applicable,not_applicable,inst_7fb1bfed3cb150b9c82f88f49613843c766218e213329cc38e12264c97c15eba,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_7fb1bfed3cb150b9c82f88f49613843c766218e213329cc38e12264c97c15eba,compiled_two_qubit_gates,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_7fb1bfed3cb150b9c82f88f49613843c766218e213329cc38e12264c97c15eba,compiled_two_qubit_depth,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_7fb1bfed3cb150b9c82f88f49613843c766218e213329cc38e12264c97c15eba,routing_overhead,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_9ba2a7792551103e6e69b98c0de1119c32118930928fc10d75a1e7d657dd1bcf,compiled_two_qubit_gates,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_9ba2a7792551103e6e69b98c0de1119c32118930928fc10d75a1e7d657dd1bcf,compiled_two_qubit_depth,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_9ba2a7792551103e6e69b98c0de1119c32118930928fc10d75a1e7d657dd1bcf,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_9ba2a7792551103e6e69b98c0de1119c32118930928fc10d75a1e7d657dd1bcf,compiled_two_qubit_gates,little_effect,0.0,pass,little_effect,0.0,pass,device_sparse_v1
not_applicable,not_applicable,inst_9ba2a7792551103e6e69b98c0de1119c32118930928fc10d75a1e7d657dd1bcf,compiled_two_qubit_depth,little_effect,0.0,pass,little_effect,0.0,pass,device_sparse_v1
not_applicable,not_applicable,inst_9ba2a7792551103e6e69b98c0de1119c32118930928fc10d75a1e7d657dd1bcf,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,device_sparse_v1
not_applicable,not_applicable,inst_9e9a0b918ddcd2a552104d1597a4bf1a0f02a66b3d265a3acbcad1a257316d47,compiled_two_qubit_gates,help,0.12360688956433638,pass,help,0.12710566615620217,pass,all_to_all_reference
not_applicable,not_applicable,inst_9e9a0b918ddcd2a552104d1597a4bf1a0f02a66b3d265a3acbcad1a257316d47,compiled_two_qubit_depth,help,0.4647887323943662,pass,help,0.4512635379061372,pass,all_to_all_reference
not_applicable,not_applicable,inst_9e9a0b918ddcd2a552104d1597a4bf1a0f02a66b3d265a3acbcad1a257316d47,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
